word_raw,word_index,file_name,text_index,program_name,program_type,full_path
Taking,0,MS-A_01_01_Taking_care_of_pets.txt,MS-A_01_01,My_Sidewalks,Decodable,/Users/aliapugh/Library/CloudStorage/Dropbox/ConnTextUL/Programs/Decodable/My_Sidewalks/My_Sidewalks_A/My_Sidewalks_Level_A_Unit_1/MS-A_01_01_Taking_care_of_pets.txt
care,1,MS-A_01_01_Taking_care_of_pets.txt,MS-A_01_01,My_Sidewalks,Decodable,/Users/aliapugh/Library/CloudStorage/Dropbox/ConnTextUL/Programs/Decodable/My_Sidewalks/My_Sidewalks_A/My_Sidewalks_Level_A_Unit_1/MS-A_01_01_Taking_care_of_pets.txt
of,2,MS-A_01_01_Taking_care_of_pets.txt,MS-A_01_01,My_Sidewalks,Decodable,/Users/aliapugh/Library/CloudStorage/Dropbox/ConnTextUL/Programs/Decodable/My_Sidewalks/My_Sidewalks_A/My_Sidewalks_Level_A_Unit_1/MS-A_01_01_Taking_care_of_pets.txt
pets,3,MS-A_01_01_Taking_care_of_pets.txt,MS-A_01_01,My_Sidewalks,Decodable,/Users/aliapugh/Library/CloudStorage/Dropbox/ConnTextUL/Programs/Decodable/My_Sidewalks/My_Sidewalks_A/My_Sidewalks_Level_A_Unit_1/MS-A_01_01_Taking_care_of_pets.txt
I,4,MS-A_01_01_Taking_care_of_pets.txt,MS-A_01_01,My_Sidewalks,Decodable,/Users/aliapugh/Library/CloudStorage/Dropbox/ConnTextUL/Programs/Decodable/My_Sidewalks/My_Sidewalks_A/My_Sidewalks_Level_A_Unit_1/MS-A_01_01_Taking_care_of_pets.txt
like,5,MS-A_01_01_Taking_care_of_pets.txt,MS-A_01_01,My_Sidewalks,Decodable,/Users/aliapugh/Library/CloudStorage/Dropbox/ConnTextUL/Programs/Decodable/My_Sidewalks/My_Sidewalks_A/My_Sidewalks_Level_A_Unit_1/MS-A_01_01_Taking_care_of_pets.txt
the,6,MS-A_01_01_Taking_care_of_pets.txt,MS-A_01_01,My_Sidewalks,Decodable,/Users/aliapugh/Library/CloudStorage/Dropbox/ConnTextUL/Programs/Decodable/My_Sidewalks/My_Sidewalks_A/My_Sidewalks_Level_A_Unit_1/MS-A_01_01_Taking_care_of_pets.txt
bird,7,MS-A_01_01_Taking_care_of_pets.txt,MS-A_01_01,My_Sidewalks,Decodable,/Users/aliapugh/Library/CloudStorage/Dropbox/ConnTextUL/Programs/Decodable/My_Sidewalks/My_Sidewalks_A/My_Sidewalks_Level_A_Unit_1/MS-A_01_01_Taking_care_of_pets.txt
I,8,MS-A_01_01_Taking_care_of_pets.txt,MS-A_01_01,My_Sidewalks,Decodable,/Users/aliapugh/Library/CloudStorage/Dropbox/ConnTextUL/Programs/Decodable/My_Sidewalks/My_Sidewalks_A/My_Sidewalks_Level_A_Unit_1/MS-A_01_01_Taking_care_of_pets.txt
like,9,MS-A_01_01_Taking_care_of_pets.txt,MS-A_01_01,My_Sidewalks,Decodable,/Users/aliapugh/Library/CloudStorage/Dropbox/ConnTextUL/Programs/Decodable/My_Sidewalks/My_Sidewalks_A/My_Sidewalks_Level_A_Unit_1/MS-A_01_01_Taking_care_of_pets.txt
